Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,220,250,280,340,370,470,520,580,700,690,660,610
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,900,1010,1170,1330,1410,1690,2150,2670,3090,3480,4050,4280,4360,4390,4360,4480,4440,4280
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1530,1530,1590,1660,1720,1920,2240,2700,3090,3590,4200,4280,4470,4590,5160,5500,5490,4850
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,19410,19250,19930,21000,22590,27150,33610,40040,42740,44250,43760,44190,41670,40580,41010,43270,..,..
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,430,360,390,430,510,620,880,1170,1630,2360,3020,3510,3570,3740,4140,4720,4800,4180
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7730,8000,8620,8890,9290,10140,10990,11920,13400,14750,14990,13420,12620,12370,12830,13030,13310,13270
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7990,7540,7440,6960,3930,3550,3560,4600,5480,6500,7640,7760,9190,10640,11800,12790,12270,12450
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,590,610,660,710,800,950,1160,1520,1990,2710,3520,3250,3370,3420,3760,3980,4010,3880
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,21770,21430,21110,20110,19960,21110,25490,30310,34140,37310,42360,44010,46530,50130,59810,65500,64630,60050
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,27920,27210,26690,25270,24950,27940,33620,38500,41260,44200,48790,48710,49350,50310,49830,50500,50150,47260
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,510,570,610,660,720,820,950,1270,1890,2710,3870,4800,5370,5530,6290,7350,7600,6560
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15790,19020,20330,20870,21230,21640,22780,23510,23610,23860,23800,22280,21660,21320,21710,21470,21080,20740
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10000,9800,10900,11540,12260,13240,14970,16970,18220,19840,20840,18650,18660,17770,19410,20900,20610,19840
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,400,410,420,430,420,450,490,540,560,590,650,710,780,870,950,1010,1080,1190
Barbados,BRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9700,10110,11110,10990,11030,11740,12650,13640,14630,15660,15980,15810,15850,15100,15190,14890,14720,14510
Belarus,BLR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1550,1400,1380,1300,1380,1630,2180,2820,3510,4310,5470,5590,5990,6130,6400,6790,7350,6470
Belgium,BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,26720,26180,26040,24530,24130,27120,32970,37850,40030,42760,46710,46250,47900,47070,47160,47280,46840,44510
Belize,BLZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2790,2880,3150,3140,3230,3450,3590,3680,3780,3740,3940,4130,3990,4150,4260,4340,4430,4490
Benin,BEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,370,370,390,380,380,430,520,590,610,650,730,770,760,770,790,860,900,840
Bermuda,BMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,117640,120490,111580,110440,107530,106080,106140,..,..
