Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,890,940,940,1040,1100,1250,1290,1530,1640,1730,1960,1970,1960,1940
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3300,3770,4140,4600,4870,5250,5660,6060,6830,7490,8270,8680,9550,10180,10450,10600,11170,11310
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7170,7360,7690,8170,8570,9280,9760,10440,10890,11680,12090,12150,12610,12890,13200,13480,13950,14300
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2370,2280,2480,2580,2480,2600,2840,3290,3930,4910,5270,5720,5740,5920,6020,6390,6590,6470
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13630,14030,14440,14430,14580,15670,16710,18260,21130,23500,23600,20760,19590,19290,20030,20460,21460,22280
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11830,11460,11500,11090,9480,10530,11720,13290,14810,16510,17340,16170,17730,19120,19150,19760,19420,19980
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2080,2190,2380,2690,3120,3630,4120,4910,5790,6830,7520,6410,6690,7050,7700,8210,8500,8770
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23450,24480,25610,26630,27900,28850,30420,31350,32990,34930,35950,38850,37650,40090,41300,44430,45060,45320
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,26430,27300,29000,29330,30970,31930,33600,34760,37560,39070,41360,40690,42260,44390,46280,47890,48760,49160
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2890,3110,3340,3710,4120,4650,5100,6280,8570,10560,12310,13720,14600,14590,14870,16210,17000,17170
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18080,19230,20130,20720,21190,21010,21380,22070,22780,23260,23160,21760,21770,22020,22690,22560,22250,21970
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,32710,32900,34630,34440,34030,35420,36730,38430,39060,40090,39060,34940,35500,34170,35590,37380,37620,38660
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1220,1270,1350,1420,1480,1560,1660,1800,1980,2160,2340,2450,2600,2780,3000,3180,3350,3560
Barbados,BRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,10380,10480,11140,11060,11260,11700,12130,12820,13700,14530,14620,14260,14660,14340,15060,15160,15400,15610
Belarus,BLR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5030,5320,5780,6220,6690,7380,8510,9680,10990,12230,13740,13760,15060,16410,16820,17040,17720,16920
Belgium,BEL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25120,26220,28670,29550,30990,31630,32690,33720,35890,37340,39030,38090,41390,41660,43390,44210,44980,45770
Belize,BLZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4450,4670,5170,5310,5540,5900,6050,6290,6610,6530,6720,7060,6990,7350,7520,7590,7800,8020
Benin,BEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1190,1240,1300,1350,1390,1410,1470,1500,1560,1640,1710,1710,1710,1760,1810,1930,2030,2050
Bermuda,BMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,75090,74800,68450,68910,68110,67140,66670,..,..
Bhutan,BTN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2140,2220,2850,3060,3290,3490,3680,4000,4350,5100,5270,5490,6000,6450,6690,6910,7330,7630
Bolivia,BOL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3330,3320,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5910,6320,6710
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4500,4820,4980,5150,5460,5630,6070,6630,7490,8260,9150,9130,9190,9600,9770,10340,10550,10900
Botswana,BWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7500,7620,7710,8090,7680,8400,8630,9400,10420,11480,12190,11660,12300,13540,14250,15150,15660,15510
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8150,8120,8600,8770,9070,9220,9930,10440,11030,11870,12510,12470,13700,14450,14930,15630,15730,15140
British Virgin Islands,VGB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,62140,63630,65560,67570,69950,72120,73190,74540,78850,80110,78660,76680,77420,79130,80340,79780,78870,82140
Bulgaria,BGR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5890,5670,6210,6970,7930,8520,9280,10300,11100,11970,13720,13680,14650,15180,15990,16280,17260,17880
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,790,840,850,900,920,990,1030,1120,1200,1240,1300,1310,1390,1470,1550,1590,1610,1660
Burundi,BDI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,570,560,570,570,580,560,580,590,630,650,680,680,690,710,730,750,770,730
Cabo Verde,CPV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2360,2590,2940,3060,3170,3330,3720,3990,4380,5250,5650,5590,5590,5910,5990,6110,6160,6320
Cambodia,KHM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,890,970,1050,1140,1200,1310,1460,1670,1880,2110,2250,2230,2350,2520,2700,2890,3090,3300
