"Notes"	"Year"	"YearCode"	"State"	"StateCode"	"Births"	"TotalPopulation"	"BirthRate"
	"2003"	"2003"	"Alabama"	"01"	59552	4503491	13.22
	"2003"	"2003"	"Alaska"	"02"	10086	648414	15.55
	"2003"	"2003"	"Arizona"	"04"	90967	5510364	16.51
	"2003"	"2003"	"Arkansas"	"05"	37784	2724816	13.87
	"2003"	"2003"	"California"	"06"	540997	35253159	15.35
	"2003"	"2003"	"Colorado"	"08"	69339	4528732	15.31
	"2003"	"2003"	"Connecticut"	"09"	42873	3484336	12.30
	"2003"	"2003"	"Delaware"	"10"	11329	818003	13.85
	"2003"	"2003"	"District of Columbia"	"11"	7619	568502	13.40
	"2003"	"2003"	"Florida"	"12"	212250	17004085	12.48
	"2003"	"2003"	"Georgia"	"13"	135979	8622793	15.77
	"2003"	"2003"	"Hawaii"	"15"	18100	1251154	14.47
	"2003"	"2003"	"Idaho"	"16"	21800	1363380	15.99
	"2003"	"2003"	"Illinois"	"17"	182495	12556006	14.53
	"2003"	"2003"	"Indiana"	"18"	86434	6196638	13.95
	"2003"	"2003"	"Iowa"	"19"	38174	2941999	12.98
	"2003"	"2003"	"Kansas"	"20"	39476	2723004	14.50
	"2003"	"2003"	"Kentucky"	"21"	55236	4117170	13.42
	"2003"	"2003"	"Louisiana"	"22"	65040	4521042	14.39
	"2003"	"2003"	"Maine"	"23"	13855	1306513	10.60
	"2003"	"2003"	"Maryland"	"24"	74930	5496269	13.63
	"2003"	"2003"	"Massachusetts"	"25"	80184	6422565	12.48
	"2003"	"2003"	"Michigan"	"26"	131094	10041152	13.06
	"2003"	"2003"	"Minnesota"	"27"	70050	5053572	13.86
	"2003"	"2003"	"Mississippi"	"28"	42380	2868312	14.78
	"2003"	"2003"	"Missouri"	"29"	77045	5709403	13.49
	"2003"	"2003"	"Montana"	"30"	11422	919630	12.42
	"2003"	"2003"	"Nebraska"	"31"	25917	1738643	14.91
	"2003"	"2003"	"Nevada"	"32"	33647	2248850	14.96
	"2003"	"2003"	"New Hampshire"	"33"	14393	1279840	11.25
	"2003"	"2003"	"New Jersey"	"34"	116983	8601402	13.60
	"2003"	"2003"	"New Mexico"	"35"	27821	1877574	14.82
	"2003"	"2003"	"New York"	"36"	253714	19175939	13.23
	"2003"	"2003"	"North Carolina"	"37"	118323	8422501	14.05
	"2003"	"2003"	"North Dakota"	"38"	7972	638817	12.48
	"2003"	"2003"	"Ohio"	"39"	149679	11434788	13.09
	"2003"	"2003"	"Oklahoma"	"40"	50981	3504892	14.55
	"2003"	"2003"	"Oregon"	"41"	45953	3547376	12.95
	"2003"	"2003"	"Pennsylvania"	"42"	145959	12374658	11.79
	"2003"	"2003"	"Rhode Island"	"44"	13209	1071342	12.33
	"2003"	"2003"	"South Carolina"	"45"	55649	4150297	13.41
	"2003"	"2003"	"South Dakota"	"46"	11027	763729	14.44
	"2003"	"2003"	"Tennessee"	"47"	78890	5847812	13.49
	"2003"	"2003"	"Texas"	"48"	377476	22030931	17.13
	"2003"	"2003"	"Utah"	"49"	49860	2360137	21.13
	"2003"	"2003"	"Vermont"	"50"	6589	617858	10.66
	"2003"	"2003"	"Virginia"	"51"	101254	7366977	13.74
	"2003"	"2003"	"Washington"	"53"	80489	6104115	13.19
	"2003"	"2003"	"West Virginia"	"54"	20935	1812295	11.55
	"2003"	"2003"	"Wisconsin"	"55"	70040	5479203	12.78
	"2003"	"2003"	"Wyoming"	"56"	6700	503453	13.31
	"2004"	"2004"	"Alabama"	"01"	59510	4530729	13.13
	"2004"	"2004"	"Alaska"	"02"	10338	659286	15.68
	"2004"	"2004"	"Arizona"	"04"	93663	5652404	16.57
	"2004"	"2004"	"Arkansas"	"05"	38573	2749686	14.03
	"2004"	"2004"	"California"	"06"	544843	35574576	15.32
	"2004"	"2004"	"Colorado"	"08"	68503	4575013	14.97
	"2004"	"2004"	"Connecticut"	"09"	42095	3496094	12.04
	"2004"	"2004"	"Delaware"	"10"	11369	830803	13.68
	"2004"	"2004"	"District of Columbia"	"11"	7933	567754	13.97
	"2004"	"2004"	"Florida"	"12"	218053	17415318	12.52
	"2004"	"2004"	"Georgia"	"13"	138849	8769252	15.83
	"2004"	"2004"	"Hawaii"	"15"	18281	1273569	14.35
	"2004"	"2004"	"Idaho"	"16"	22532	1391802	16.19
	"2004"	"2004"	"Illinois"	"17"	180778	12589773	14.36
	"2004"	"2004"	"Indiana"	"18"	87142	6233007	13.98
	"2004"	"2004"	"Iowa"	"19"	38438	2953635	13.01
	"2004"	"2004"	"Kansas"	"20"	39669	2734373	14.51
	"2004"	"2004"	"Kentucky"	"21"	55720	4146101	13.44
	"2004"	"2004"	"Louisiana"	"22"	65369	4552238	14.36
	"2004"	"2004"	"Maine"	"23"	13944	1313688	10.61
	"2004"	"2004"	"Maryland"	"24"	74628	5546935	13.45
	"2004"	"2004"	"Massachusetts"	"25"	78484	6412281	12.24
	"2004"	"2004"	"Michigan"	"26"	129776	10055315	12.91
	"2004"	"2004"	"Minnesota"	"27"	70624	5087713	13.88
	"2004"	"2004"	"Mississippi"	"28"	42827	2889010	14.82
	"2004"	"2004"	"Missouri"	"29"	77765	5747741	13.53
	"2004"	"2004"	"Montana"	"30"	11519	930009	12.39
	"2004"	"2004"	"Nebraska"	"31"	26332	1749370	15.05
	"2004"	"2004"	"Nevada"	"32"	35200	2346222	15.00
	"2004"	"2004"	"New Hampshire"	"33"	14565	1290121	11.29
	"2004"	"2004"	"New Jersey"	"34"	115253	8634561	13.35
	"2004"	"2004"	"New Mexico"	"35"	28384	1903808	14.91
	"2004"	"2004"	"New York"	"36"	249947	19171567	13.04
	"2004"	"2004"	"North Carolina"	"37"	119847	8553152	14.01
	"2004"	"2004"	"North Dakota"	"38"	8189	644705	12.70
	"2004"	"2004"	"Ohio"	"39"	148954	11452251	13.01
	"2004"	"2004"	"Oklahoma"	"40"	51306	3525233	14.55
	"2004"	"2004"	"Oregon"	"41"	45678	3569463	12.80
	"2004"	"2004"	"Pennsylvania"	"42"	144748	12410722	11.66
	"2004"	"2004"	"Rhode Island"	"44"	12779	1074579	11.89
	"2004"	"2004"	"South Carolina"	"45"	56590	4210921	13.44
	"2004"	"2004"	"South Dakota"	"46"	11338	770396	14.72
	"2004"	"2004"	"Tennessee"	"47"	79642	5910809	13.47
	"2004"	"2004"	"Texas"	"48"	381293	22394023	17.03
	"2004"	"2004"	"Utah"	"49"	50670	2401580	21.10
	"2004"	"2004"	"Vermont"	"50"	6599	619920	10.64
	"2004"	"2004"	"Virginia"	"51"	103933	7475575	13.90
	"2004"	"2004"	"Washington"	"53"	81747	6178645	13.23
	"2004"	"2004"	"West Virginia"	"54"	20880	1816438	11.50
	"2004"	"2004"	"Wisconsin"	"55"	70146	5514026	12.72
	"2004"	"2004"	"Wyoming"	"56"	6807	509106	13.37
	"2005"	"2005"	"Alabama"	"01"	60453	4569805	13.23
	"2005"	"2005"	"Alaska"	"02"	10459	666946	15.68
