CTA2001 0   14566   13866    2714    2603    2716    2640     376     356      34      34      18      18     694     671      38      37
CTA2001 1   14707   14003    2666    2557    2641    2573     359     343      33      32      17      17     665     636      36      35
CTA2001 2   15005   14270    2642    2534    2622    2543     351     333      33      33      17      16     655     642      36      35
CTA2001 3   15294   14545    2620    2508    2585    2522     343     327      34      33      17      16     654     641      36      35
CTA2001 4   15752   14975    2627    2519    2636    2570     345     330      34      33      16      16     649     632      37      35
CTA2001 5   16033   15220    2608    2489    2605    2551     337     321      34      33      16      15     646     617      36      35
CTA2001 6   16055   15226    2542    2417    2554    2490     325     306      33      32      15      14     615     591      36      34
CTA2001 7   16041   15426    2547    2353    2518    2400     441     320      45      24      65      41     641     597      39      39
CTA2001 8   15626   14730    2572    2417    2449    2423     437     397      36      34      72      73     605     618      48      46
CTA2001 9   17506   16607    2798    2640    2514    2393     381     369      37      36      21      41     656     596      65      51
CTA200110   17241   16398    2823    2584    2933    2782     553     503      32      21      34      33     689     649      76      48
CTA200111   17995   16931    2645    2500    2839    2764     345     325      45      48      18      16     572     565      45      46
CTA200112   17321   16359    2498    2352    2898    2731     295     331      48      51      29      17     603     602      43      37
CTA200113   16879   16210    2437    2382    2619    2621     330     296      44      39      22      21     599     643      40      43
CTA200114   16609   15812    2298    2189    2575    2488     341     345      42      34      18      21     611     596      52      52
CTA200115   16450   15256    2326    2187    2624    2457     333     301      45      40      23      15     617     628      42      39
CTA200116   16147   15355    2228    2077    2626    2324     293     305      44      32      21      22     599     602      34      34
CTA200117   15775   14810    2125    2035    2541    2320     287     293      46      41      17      16     612     602      34      35
CTA200118   15419   14762    2108    2123    2418    2298     292     263      37      33      19      18     555     576      37      35
CTA200119   15975   15453    2223    2192    2575    2493     285     306      41      56      17      22     584     583      34      37
CTA200120   15555   14959    2323    2187    2414    2249     270     265      41      55      22      20     566     561      36      36
CTA200121   15523   14762    2224    2137    2464    2417     265     268      37      54      12      19     570     560      28      39
CTA200122   14699   14123    2088    2082    2234    2314     288     258      43      51      15      17     548     537      32      30
CTA200123   13599   13407    2020    2045    2019    2112     240     272      37      52      16      13     525     529      40      41
CTA200124   14065   13939    1991    2005    1995    2139     255     226      42      54      12      18     529     571      28      31
CTA200125   13648   13321    1884    1976    1889    2010     224     259      38      54      17      19     559     613      31      28
CTA200126   13841   13743    1801    1935    1934    2065     224     256      37      42      13      21     550     668      31      39
CTA200127   13665   13739    1838    1892    1923    2043     226     232      42      44      14      19     566     707      37      38
CTA200128   13488   13463    1804    1908    1933    2023     212     237      44      39      14      14     578     715      31      36
CTA200129   15865   15869    2142    2161    2404    2544     267     267      51      48      21      14     735     932      46      47
CTA200130   17270   17385    2301    2278    2474    2626     247     290      55      46      22      20     760     919      52      57
CTA200131   17519   17532    2203    2225    2351    2517     233     275      57      46      32      17     818     885      49      50
CTA200132   17382   17494    2270    2207    2224    2463     234     271      60      44      22      18     780     873      49      52
CTA200133   17397   17436    2190    2261    2160    2468     235     240      55      47      19      15     729     812      45      34
CTA200134   18879   18792    2421    2419    2344    2698     269     293      61      48      25      18     773     862      55      57
CTA200135   19573   19604    2489    2463    2469    2799     272     280      44      47      25      19     813     877      41      37
CTA200136   20738   20720    2413    2464    2492    2772     261     280      50      51      23      17     733     817      52      48
CTA200137   22019   21808    2347    2424    2538    2920     256     296      62      45      21      18     819     827      40      40
CTA200138   21059   20941    2165    2238    2310    2564     221     259      55      53      18      14     712     807      38      40
CTA200139   24274   23794    2267    2366    2502    2875     239     282      53      49      20      18     796     836      34      45
CTA200140   23505   23643    2213    2287    2282    2688     241     276      73      55      18      13     764     807      31      36
CTA200141   23598   23403    2003    2106    2206    2537     214     265      61      49      16      17     766     732      29      30
CTA200142   23324   23566    1824    1936    2120    2426     215     240      57      48      21      11     645     645      32      34
CTA200143   22908   23417    1801    1887    2046    2315     213     230      65      55      11      15     693     697      31      32
CTA200144   23880   23859    1734    1830    2098    2395     201     197      43      44      18       9     588     642      21      27
CTA200145   22048   22697    1605    1719    1919    2219     177     207      43      54      14       8     582     632      30      26
CTA200146   21099   21713    1447    1595    1741    2111     175     170      50      45       8      14     500     582      24      19
CTA200147   20482   21297    1352    1500    1667    2143     152     187      49      47      12       6     510     567      15      27
CTA200148   18880   19895    1279    1365    1364    1808     139     138      43      39       7       8     471     529      18      23
CTA200149   20057   20899    1236    1396    1557    2043     136     148      41      47      12       4     462     569      22      13
CTA200150   18398   19097    1196    1338    1428    1820     119     138      42      43      11      10     428     546      21      16
CTA200151   17586   18392    1095    1200    1396    1777     115     117      28      36       6       3     427     506      16      21
CTA200152   17605   18247    1008    1127    1291    1752     105     100      31      36       5       8     387     444      15      25
CTA200153   18278   18926     945    1161    1336    1643     101     100      29      33       4       6     367     440      12      19
CTA200154   20433   21116    1004    1116    1361    1686      90     132      34      33       5       5     355     400      13      14
CTA200155   13825   14688     882     989    1125    1367      84      98      26      29       2       4     304     359      17      15
CTA200156   14576   15230     791     943    1014    1386      74      90      25      17       2       6     277     294      10      13
CTA200157   14834   15562     769     909    1021    1347      73      82      19      25       4       3     268     293       9      16
CTA200158   14926   15770     682     780     876    1156      60     121      27      24       2       5     239     264       1       8
