LAA2001 0   17521   16600     528     500   14079   13673      54      51     116     115       7       6     589     564      13      13
LAA2001 1   17414   16500     556     527   13691   13313      55      53     114     110       7       6     555     526      14      13
LAA2001 2   17496   16556     590     553   13590   13147      58      54     114     112       7       7     543     519      15      14
LAA2001 3   17606   16665     614     585   13374   13008      60      56     114     113       7       7     531     511      16      15
LAA2001 4   17968   17023     650     617   13611   13225      64      60     115     113       7       7     523     502      17      16
LAA2001 5   18177   17215     665     634   13416   13013      67      60     117     114       7       7     516     494      18      16
LAA2001 6   18653   17758     686     665   13217   12825      69      62     117     115       8       7     504     486      18      17
LAA2001 7   18429   17547     758     710   13691   13669      98      75     120     119      11      30     528     471     118     115
LAA2001 8   18228   17405     691     682   13014   12698     143     109     134     123      18       7     468     448      99     106
LAA2001 9   20118   19271     743     695   14026   13353      73      59     139     101       8       6     540     530     124     131
LAA200110   19331   18488     712     664   14947   14348      64      34     107     107      12      15     530     502     207     203
LAA200111   19965   18963     918     926   13519   13217     123     112     167     166      14      13     495     466      28      27
LAA200112   19288   18476     876     869   13984   13478     123      87     179     168      14      23     511     470      23      27
LAA200113   19381   18503     927     837   13386   13096     100     103     194     173      15      22     529     508      35      28
LAA200114   19697   18734     895     865   13808   13259      99     107     180     164      18      19     524     504      28      27
LAA200115   20411   19292     957     879   14167   13660     111     108     189     185      16      19     537     502      36      35
LAA200116   20932   19688     956     903   14309   13661     103     104     180     165      23      21     522     519      26      35
LAA200117   21009   19571     971     904   14073   13410      98      96     181     184      22      20     528     519      31      23
LAA200118   21045   20133     957     902   13844   13471     101      95     170     197      21      21     534     503      31      30
LAA200119   22050   21376     994     969   14317   14569      98     104     181     185      19      20     528     531      34      25
LAA200120   21348   20578     995     935   13503   13906      88      87     177     185      16      17     517     512      33      30
LAA200121   20306   19670     951     909   13491   13762      92      95     167     178      18      16     488     479      30      29
LAA200122   18444   17996     873     837   11783   12335      82      83     153     153      14      14     457     484      30      32
LAA200123   18077   17566     853     848   11408   12135      81      75     153     153      13      17     471     470      31      30
LAA200124   17682   17827     843     848   10907   12365      77      88     149     144      11      16     471     515      26      30
LAA200125   16379   16830     803     811    9796   11470      75      83     138     132      16      11     461     509      23      33
LAA200126   16344   16742     819     827    9603   11155      71      73     136     123       9      11     445     516      20      25
LAA200127   15961   16166     758     794    9312   10716      78      73     127     125      11      14     456     530      20      30
LAA200128   15201   15898     776     809    8696   10020      73      61     136     138       9      12     459     512      22      24
LAA200129   17629   18115     885     869   10145   11804      71      76     149     147      14      14     547     599      24      41
LAA200130   18388   18949     945     892    9582   11595      92      75     179     144      12      15     566     592      33      28
LAA200131   18190   18452     936     880    8730   10598      82      73     151     136      19       9     521     562      24      26
LAA200132   17547   18186     928     803    8243   10065      69      62     121     128       9       8     492     532      25      21
LAA200133   17064   17708     857     779    8156   10091      74      81     131     117      15       8     457     515      22      19
LAA200134   18102   18454     934     808    8736   10714      87      74     121     132      11      14     456     508      24      23
LAA200135   18016   18454     922     841    8739   10441      77      79     121     111      12      10     453     521      20      20
LAA200136   19217   19404     879     833    8546   10584      90      73     121     120      12       9     451     471      20      26
LAA200137   20412   20375     945     818    8995   10819      72     100     124     133      10      10     457     487      20      19
LAA200138   19861   19825     873     826    8415    9908      74      76     138     114      12       8     455     469      17      23
LAA200139   22832   22396     895     865    9885   11665      87      85     125     145      13       6     482     473      22      24
LAA200140   22503   22385     914     860    9153   10915      77      75     144     126      12      16     472     477      18      23
